customer_id,first_name,last_name,street,city,region,postal_code,country,phone,email,tax_id,account_group,sales_org,distribution_channel,division,currency,payment_terms,credit_limit,language,created_date,gender,age,payment_method
C319333,Allison,Benson,6780 Victor Street,East Sylviaport,Cristianview,68969,FR,+17697684617,allison.benson@outlook.com,FR61777152078,Z001,1000,20,00,EUR,NT00,0.0,EN,2020-12-03,F,29.0,Cash
C882327,Çetinsu,Akçay,1801 Karadeniz Island Suite 495,Antalya,Black Sea,46114,TR,+905214496506,çetinsu.akçay@hotmail.com,25990200949,Z001,1000,20,10,TRY,NT60,5000.0,TR,2024-12-05,F,46.0,Cash
C112124,Galina,Gieß,Volkhard-Caspar-Weg 6260,Eisenberg,Thüringen,76069,DE,+491643830571,galina.gieß@hotmail.com,88056113354,Z001,2000,10,00,EUR,NT00,0.0,DE,2023-09-26,M,62.0,Credit Card
C341690,Cuheyna,Manço,693 Kasim Locks Suite 929,Konya,Black Sea,61222,TR,+905057375296,cuheyna.manço@outlook.com,28346732474,Z001,1000,10,10,TRY,NT30,0.0,TR,2022-10-29,F,38.0,Cash
C309733,Thomas,Yates,598 Crystal Shores,Morahaven,New Amandaton,03837,FR,+16342918165,thomas.yates@icloud.com,FR73406477242,Z001,1000,10,00,EUR,NT15,0.0,EN,2023-07-07,F,50.0,Cash
C322085,Rose,Gonzalez,4169 Linda Groves Suite 009,Ethanchester,Campbellshire,98600,FR,2485265942,rose.gonzalez@hotmail.com,FR62659656683,Z001,1000,10,00,EUR,NT45,50000.0,EN,2020-12-22,F,44.0,Credit Card
C164641,Nüdret,Çorlu,956 Alize Neck,Bursa,Mediterranean,83137,TR,+905995219225,nüdret.çorlu@outlook.com,68778886591,Z001,2000,10,10,TRY,NT00,10000.0,TR,2024-01-03,F,46.0,Credit Card
C202004,Işin,Bilge,08858 Şemsettin Stravenue Suite 089,Istanbul,Aegean,76300,TR,+905646914420,işin.bilge@outlook.com,80771435708,Z001,1000,10,00,TRY,NT45,5000.0,TR,2023-03-13,F,24.0,Cash
C162292,Ortwin,Noack,Eleonore-Haering-Weg 1-8,Sondershausen,Sachsen,96532,DE,+491504160876,ortwin.noack@hotmail.com,31619626308,Z001,1000,10,10,EUR,NT45,1000.0,DE,2021-10-27,F,25.0,Cash
C265239,Tercan,Fırat,3700 Bilgin Mill,Adana,,01064,TR,,tercan.fırat@hotmail.com,37835189861,Z001,3000,20,00,TRY,NT45,10000.0,TR,2020-06-20,F,30.0,Cash
C339091,Bağdat,Demir,07028 Zengin Stravenue Apt. 847,Adana,,26086,TR,+905638373600,bağdat.demir@gmail.com,43186136739,Z002,1000,10,10,TRY,NT15,1000.0,TR,2024-02-04,F,31.0,Credit Card
C261391,Şevketfeza,Şafak,555 Gül Forks Apt. 934,Izmir,Mediterranean,62559,TR,+905039293742,şevketfeza.şafak@icloud.com,00416683201,Z002,1000,10,00,TRY,NT00,0.0,TR,2022-02-16,F,67.0,Cash
C236060,Songül,Textor,Süßebierstr. 652,Olpe,Saarland,18696,DE,1619606402,songül.textor@icloud.com,20464488285,Z001,1000,10,00,EUR,NT45,0.0,DE,2022-08-22,M,46.0,Cash
C659680,Nas,Akdeniz,4166 Kısakürek Crest Apt. 676,Bursa,Central Anatolia,95422,TR,+905091906528,,11642201227,ZKAM,2000,20,00,TRY,NT00,5000.0,TR,2020-01-27,F,48.0,Credit Card
C265803,Henife,Gülen,4456 Çaltı Trail Apt. 132,Ankara,Black Sea,32021,TR,+905436573701,henife.gülen@hotmail.com,62184519113,ZKAM,1000,20,00,TRY,NT45,25000.0,TR,2022-08-11,F,29.0,Cash
C297352,Özbay,Şensoy,465 Demir Corner,Ankara,Mediterranean,59174,TR,05787076109,özbay.şensoy@yahoo.com,47068763176,Z001,3000,20,00,TRY,NT00,10000.0,TR,2021-10-07,M,57.0,Debit Card
C199257,Rigo,Trüb,Annelene-Lindner-Platz 475,Tirschenreuth,Nordrhein-Westfalen,76851,DE,+491778869657,rigo.trüb@icloud.com,76802808616,ZKAM,1000,10,00,EUR,NT00,1000.0,DE,2022-10-11,F,45.0,Debit Card
C277828,Akkerman,Yorulmaz,095 Çamurcuoğlu Ridges Suite 987,Izmir,Aegean,78762,TR,+905416819586,akkerman.yorulmaz@gmail.com,68267054444,Z001,1000,10,00,TRY,NT00,5000.0,TR,2021-05-14,M,36.0,Credit Card
C167315,Nelli,Schacht,Kranzring 18-87,Einbeck,Berlin,45971,DE,1764229415,nelli.schacht@outlook.com,06130776621,Z001,2000,20,00,EUR,NT00,1000.0,DE,2022-03-15,F,60.0,Cash
